"id","title","description","cover_image"
"60","Tổng thống Hormone","Một chàng trai không một xu dám một mình đột nhập vào tập đoàn tài chính danh tiếng nhất thế giới để lừa lấy khoản đầu tư khổng lồ. Nhà đầu tư cao cấp tiếp đón anh ta không chỉ bị anh ta chơi khăm qua nhiều vòng đấu trí mà còn phải lòng anh ta một cách không thể cứu vãn. Thiên tài tài chính thao túng thị trường sao có thể bị một cậu bé đánh bại? Trong vòng vây của những lớp lớp dối trá, tình yêu âm thầm dâng trào...","qq-comics/thumbnails/656052.jpg"
"103","Hệ Thống Hèn Mọn, Quỳ Lạy Tôi Vô Địch","Người khác xuyên không, gắn hệ thống làm trâu làm ngựa? Vương Dạng xuyên không, hệ thống pua làm trâu làm ngựa cho anh ta! Chỉ cần nằm yên, muốn gì hệ thống tặng luôn. Công pháp thần cấp, tu vi vô địch, mỹ nhân xinh đẹp, có đủ cả! Xuyên không là phải sướng thế này!","qq-comics/thumbnails/655910.jpg"
"40","Sa Nô","Công chúa Tây Vực bị kẻ xâm lược làm nhơ bẩn rồi sinh ra hoàng tử. Bà chết khi cứu con trong lúc chạy trốn, để lại lời thề báo thù. Hoàng tử lưu lạc biên ải thành kẻ ăn xin, sau đó gia nhập đội nô lệ, kết bạn với thanh niên tóc dài và nảy sinh tình cảm. Hoàng tử để báo thù cho mẹ và diệt quốc, thu phục lòng người, quan sát tình hình, trở thành nô lệ lao công, định ám sát vua trong yến tiệc hoàng gia.","qq-comics/thumbnails/656422.jpg"
"48","Siêu Chiến Thần Nâng Cấp Cuồng","Cậu bé bạo lực Lôi Diễm Mã đang rảnh rỗi, bỗng phát hiện có thể chứng minh bản thân bằng cách tham gia giải đấu võ thuật. Vì vậy, cậu kết hợp với Lý Nô Hắc Văn và tìm mọi cách để có được tư cách tham dự. Lôi Diễm Mã cuối cùng cũng đặt chân lên đất Hồng Kông qua một con đường vô cùng quanh co. Nhưng điều bất ngờ là phía sau còn có một âm mưu đen tối.","qq-comics/thumbnails/656959.jpg"
"53","Vô Địch Từ Đầu","Một cậu bé 14 tuổi, vì căn nguyên linh khí quá yếu không thể khai linh nên bị giáng chức, nhưng cậu chưa bao giờ từ bỏ. Cho đến khi cậu gặp được một dị duyên tại Bia Thần Khởi trên lục địa, từ đó bắt đầu con đường tu luyện hoàn toàn khác biệt với người khác, trở lại thế giới tinh anh và từng bước vươn lên ngai vàng.","qq-comics/thumbnails/656954.jpg"
"95","Vô Địch Bắt Đầu Từ Cái Tay Gãy","Người thức tỉnh yếu nhất, Chu Minh Hiên, bị quái thú khổng lồ nuốt chửng. Khi tính mạng lâm nguy, anh bất ngờ thừa kế một hệ thống, từ đó bước lên con đường ngày càng mạnh mẽ để thăng cấp thần thang.
Nhưng người thức tỉnh rốt cuộc được hình thành thế nào? Hệ thống đến từ đâu? Dưới vẻ ngoài bình yên là những dòng chảy ngầm dữ dội. Cuộc biến đổi đẫm máu lớn của thế giới sắp bắt đầu.","qq-comics/thumbnails/656089.jpg"
"65","Phục Hồi Năng Lượng Nhanh","Diệp Vũ, cậu bé yếu ớt yêu bóng rổ, đã khai phá tiềm năng cơ thể sau khi uống một loại đồ uống bí ẩn. Từ một người vô danh, cậu vươn lên trở thành thiên tài bóng rổ có thể đối đầu với những vận động viên được cải tạo công nghệ. Cùng đồng đội sát cánh chiến đấu, dùng nhiệt huyết và niềm tin bảo vệ sự thuần khiết của thể thao, bắt đầu hành trình bùng cháy khắp sân đấu! Ý chí làm lưỡi kiếm, hồi năng lượng thức tỉnh—đây không chỉ là bóng rổ, mà là cuộc đối đầu trực diện giữa cậu bé và định mệnh.","qq-comics/thumbnails/656728.jpg"
"36","Minh Song Yến","Mỹ nhân ngự y Hứa Minh Song vì cùng lúc theo đuổi một người với Hà Gian Vương Lý Tiếu Gian mà quen biết, hai người vì mối quan hệ tình địch mà đối đầu nhau kịch liệt. Hứa Minh Song kinh ngạc phát hiện Lý Tiếu Gian lại bị trúng trùng chú, sau đó do một tai nạn giả trang thành nữ nhân, vô tình bị ép phải gả cho tình địch Lý Tiếu Gian, trở thành Vương phi Hà Gian.","qq-comics/thumbnails/656864.jpg"
"42","Ta Muốn Phong Thiên","Câu chuyện tu tiên kinh điển: Nếu ta muốn có trời, trời không thể thiếu ta; nếu ta muốn không có trời, trời không được tồn tại! Đây là câu chuyện bắt đầu giữa Núi Thứ Tám và Núi Thứ Chín — một thế giới nơi 'mệnh ta như yêu, muốn phong thiên!' Đây là tiểu thuyết dài thứ ba của Nhĩ Căn sau ""Tiên Nghịch"" và ""Cầu Ma"" — ""Ta Muốn Phong Thiên""...","qq-comics/thumbnails/657044.jpg"
"94","Tôi Mở Tiệm Đen Ở Thế Giới Quái Dị","Lỗ Ngoại Sơn, người sở hữu hệ thống trồng trọt xuyên không đến thời loạn lạc, vô tình bước vào một nơi bên ngoài là quán trọ cũ kỹ nhưng thực chất là một trong Mười Đại Quái Dị Tuyệt Cảnh: Quán Trọ Bỏ Hoang Vua Ma. Anh còn trở thành chồng của linh hồn quán trọ, Tô Tú Cẩm.
Kể từ đó, anh biết được thế giới này tồn tại một trong Mười Đại Quái Dị Tuyệt Cảnh. Dù là để tự bảo vệ hay vì vợ, với tư cách là chồng, anh phải dựa vào hệ thống trồng trọt để giúp vợ và chống lại chín tuyệt cảnh còn lại.","qq-comics/thumbnails/656190.jpg"
"111","Vương Ca Tái Sinh: Trai Mạnh và Gái Ngọt","Vương Ca, ông hoàng xã hội chơi cả hai phe, xuyên không thành cô gái mềm mại, dễ thương 24 tuổi Lạc Vân Vân. Sau đó dùng kinh nghiệm làm đại ca xã hội, tư duy quản lý và kỹ thuật tẩy não của mình để vả mặt gia đình độc ác, xây dựng đế chế kinh doanh riêng, thuận lợi bước lên con đường ""nữ đế.""","qq-comics/thumbnails/655708.jpg"
"83","Cô Ấy Sẽ Thuần Hóa Anh Hùng","""Công Chúa Máu Lạnh"" Martina kiếp trước bị kết án lưu đày, và ""con gái"" của cô cũng chết vì ngộ độc. Cô đã dốc hết mọi thứ để có cơ hội tái sinh.
Kiếp này, để bảo vệ con gái thật tốt, Martina phải thuần hóa các anh hùng và nhận được nụ hôn trung thành của họ!
Nhưng các anh hùng luôn thương hại hỏi: ""Thưa công chúa, tôi có cơ hội trở thành cha của đứa trẻ không?""","qq-comics/thumbnails/656516.jpg"
"58","Sổ Tay Thuật Sư","Năm 1668, thành phố tôi sống được đánh giá là khu vực an ninh tốt nhất cả nước.
Tôi đã góp phần không thể phai mờ vào điều này.
Bởi vì tôi đã bị bắt.","qq-comics/thumbnails/656182.jpg"
